comp,model,split,fold,n_train,n_val,accuracy,precision,recall,f1,auc_roc
synthetic_25pct,LR,grouped,3,800,200,0.83,0.8929,0.75,0.8152,0.8726
synthetic_25pct,SVM,grouped,3,800,200,0.845,0.9367,0.74,0.8268,0.8763
synthetic_25pct,LR,grouped,4,800,200,0.845,0.9157,0.76,0.8306,0.8488
synthetic_25pct,SVM,grouped,4,800,200,0.845,0.96,0.72,0.8229,0.8731
synthetic_25pct,LR,grouped,5,800,200,0.845,0.9481,0.73,0.8249,0.8915
synthetic_25pct,SVM,grouped,5,800,200,0.845,0.9859,0.7,0.8187,0.8815
synthetic_75pct,LR,stratified,1,800,200,0.34,0.3222,0.29,0.3053,0.2808
synthetic_75pct,SVM,stratified,1,800,200,0.505,0.6667,0.02,0.0388,0.5049
synthetic_75pct,LR,stratified,2,800,200,0.295,0.2747,0.25,0.2618,0.2402
synthetic_75pct,SVM,stratified,2,800,200,0.505,1.0,0.01,0.0198,0.505
synthetic_75pct,LR,stratified,3,800,200,0.315,0.3053,0.29,0.2974,0.2896
synthetic_75pct,SVM,stratified,3,800,200,0.5,0.5,0.03,0.0566,0.5001
synthetic_75pct,LR,stratified,4,800,200,0.305,0.3211,0.35,0.3349,0.2839
synthetic_75pct,SVM,stratified,4,800,200,0.495,0.4286,0.03,0.0561,0.4955
synthetic_75pct,LR,stratified,5,800,200,0.33,0.3111,0.28,0.2947,0.2628
synthetic_75pct,SVM,stratified,5,800,200,0.5,0.5,0.01,0.0196,0.5
synthetic_75pct,LR,grouped,1,800,200,0.605,0.6721,0.41,0.5093,0.6337
synthetic_75pct,SVM,grouped,1,800,200,0.5,0.0,0.0,0.0,0.5
synthetic_75pct,LR,grouped,2,800,200,0.6,0.7174,0.33,0.4521,0.6177
synthetic_75pct,SVM,grouped,2,800,200,0.505,1.0,0.01,0.0198,0.505
synthetic_75pct,LR,grouped,3,800,200,0.615,0.6949,0.41,0.5157,0.626
synthetic_75pct,SVM,grouped,3,800,200,0.505,1.0,0.01,0.0198,0.505
synthetic_75pct,LR,grouped,4,800,200,0.605,0.6721,0.41,0.5093,0.6387
synthetic_75pct,SVM,grouped,4,800,200,0.5,0.0,0.0,0.0,0.5
synthetic_75pct,LR,grouped,5,800,200,0.615,0.7091,0.39,0.5032,0.6385
synthetic_75pct,SVM,grouped,5,800,200,0.51,1.0,0.02,0.0392,0.51
